request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192006&c-t-p=2,c-t-id,192006,"GRAHAM, LINDSEY OLIN",c-t-eid,8463292,"GRAHAM, LINDSEY OLIN",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,4334,7292173.80
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191990&c-t-p=1,c-t-id,191990,"OMALLEY, MARTIN JOSEPH",c-t-eid,6482419,"OMALLEY, MARTIN JOSEPH",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,5383,5699814.82
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191996&c-t-p=2,c-t-id,191996,"HUCKABEE, MIKE D",c-t-eid,6578217,"HUCKABEE, MIKE D",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,6413,3064303.84
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142380&c-t-p=3,c-t-id,142380,"JOHNSON, GARY EARL & GRAY, JIM",c-t-eid,"17659048,17659047","JOHNSON, GARY EARL & GRAY, JIM",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,73,LIBERTARIAN,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,3318,2410362.70
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=220701&c-t-p=3,c-t-id,220701,"MCMULLIN, EVAN & FINN, MINDY",c-t-eid,"42113428,42113429","MCMULLIN, EVAN & FINN, MINDY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,62,INDEPENDENT,c-t-p,3,Third-Party,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,2584,1732215.33
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192005&c-t-p=2,c-t-id,192005,"SANTORUM, RICHARD JOHN (RICK)",c-t-eid,5829001,"SANTORUM, RICHARD JOHN (RICK)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,1884,1579455.23
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192004&c-t-p=2,c-t-id,192004,"JINDAL, BOBBY",c-t-eid,6613013,"JINDAL, BOBBY",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,770,1431663.52
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192003&c-t-p=2,c-t-id,192003,"PERRY, JAMES RICHARD (RICK)",c-t-eid,11291411,"PERRY, JAMES RICHARD (RICK)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,917,1256810.54
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142381&c-t-p=3,c-t-id,142381,"STEIN, JILL E & HONKALA, CHERI",c-t-eid,"6528028,17659049","STEIN, JILL E & HONKALA, CHERI",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,51,GREEN,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,1564,900062.91
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191992&c-t-p=1,c-t-id,191992,"WEBB, JIM",c-t-eid,32094357,"WEBB, JIM",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,807,777778.91
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142423&c-t-p=2,c-t-id,142423,"KARGER, FRED",c-t-eid,17659103,"KARGER, FRED",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,1870,613525.87
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192009&c-t-p=2,c-t-id,192009,"PATAKI, GEORGE E",c-t-eid,6587450,"PATAKI, GEORGE E",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,345,529173.88
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142443&c-t-p=2,c-t-id,142443,"DAVIS JR, JOHN L",c-t-eid,6218047,"DAVIS JR, JOHN L",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,143,441945.36
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142394&c-t-p=3,c-t-id,142394,"TERRY, RANDALL",c-t-eid,13011365,"TERRY, RANDALL",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,62,INDEPENDENT,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,730,427830.55
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191988&c-t-p=1,c-t-id,191988,"CHAFEE, LINCOLN D",c-t-eid,6535053,"CHAFEE, LINCOLN D",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,118,418135.75
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142412&c-t-p=2,c-t-id,142412,"ROEMER III, CHARLES E (BUDDY)",c-t-eid,12042541,"ROEMER III, CHARLES E (BUDDY)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,6016,415497.12
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=192008&c-t-p=2,c-t-id,192008,"GILMORE, JIM",c-t-eid,32094373,"GILMORE, JIM",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,105,386594.95
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142382&c-t-p=3,c-t-id,142382,"GOODE JR, VIRGIL H & CLYMER, JIM",c-t-eid,"14410650,17659051","GOODE JR, VIRGIL H & CLYMER, JIM",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,29,CONSTITUTION,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,16,201627.54
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142432&c-t-p=1,c-t-id,142432,"ELY, BOB",c-t-eid,17659112,"ELY, BOB",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,45,170652.50
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142435&c-t-p=1,c-t-id,142435,"HAYWOOD, JOHN D",c-t-eid,6213002,"HAYWOOD, JOHN D",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,12,135395.00
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142388&c-t-p=3,c-t-id,142388,"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY",c-t-eid,"17659062,17659061","BARR, ROSEANNE CHERRI & SHEEHAN, CINDY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,110,"PEACE & FREEDOM",c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,13,56553.79
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142384&c-t-p=3,c-t-id,142384,"REED, JILL & CARY, TOM",c-t-eid,"17659056,17659055","REED, JILL & CARY, TOM",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,156,UNAFFILIATED,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,132,48388.06
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142387&c-t-p=3,c-t-id,142387,"LINDSAY, PETA & OSORIO, YARI",c-t-eid,"17659060,17659059","LINDSAY, PETA & OSORIO, YARI",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,274,"SOCIALISM AND LIBERATION",c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,91,31058.00
