"","Zip_Code","Latitude","Longitude"
"510",1841,42.70979,-71.164402
"511",1842,42.635443,-70.879123
"512",1843,42.71037,-71.088303
"513",1844,42.73184,-71.186915
"514",1845,42.672835,-71.087689
"515",1850,42.446396,-71.459405
"516",1851,42.446396,-71.459405
"517",1852,42.446396,-71.459405
"518",1853,42.446396,-71.459405
"519",1854,42.446396,-71.459405
"520",1860,42.802441,-71.0896
"521",1862,42.446396,-71.459405
"522",1863,42.446396,-71.459405
"523",1864,42.581332,-71.083725
"524",1865,42.446396,-71.459405
"525",1866,42.446396,-71.459405
"526",1867,42.537065,-71.107172
"527",1876,42.446396,-71.459405
"528",1879,42.446396,-71.459405
"529",1880,42.499891,-71.068829
"530",1885,42.635443,-70.879123
"531",1886,42.446396,-71.459405
"532",1887,42.561782,-71.173888
"533",1888,42.446396,-71.459405
"534",1889,42.571633,-71.109646
"535",1890,42.454545,-71.148779
"536",1899,42.635443,-70.879123
"537",1901,42.461246,-70.946743
"538",1902,42.473195,-70.928593
"539",1903,42.635443,-70.879123
"540",1904,42.488896,-70.964694
"541",1905,42.469395,-70.972844
"542",1906,42.472112,-70.997794
"543",1907,42.513295,-70.905893
"544",1908,42.427296,-70.922442
"545",1910,42.454796,-70.974694
"546",1913,42.853539,-70.948211
"547",1915,42.565145,-70.853843
"548",1921,42.683256,-71.017403
"549",1922,42.763216,-70.92812
"550",1923,42.577188,-70.949245
"551",1929,42.62781,-70.780576
"552",1930,42.630011,-70.694179
"553",1931,42.635443,-70.879123
"554",1936,42.635443,-70.879123
"555",1937,42.635443,-70.879123
"556",1938,42.68571,-70.864132
"557",1940,42.533732,-71.028775
"558",1944,42.579503,-70.755062
"559",1945,42.56142,-70.770768
"560",1949,42.644942,-71.087905
"561",1950,42.80965,-70.873196
"562",1951,42.777524,-70.867246
"563",1952,42.851234,-70.865667
"564",1960,42.536996,-70.973646
"565",1961,42.635443,-70.879123
"566",1965,42.558113,-70.825743
"567",1966,42.657866,-70.618057
"568",1969,42.716155,-70.892754
"569",1970,42.512946,-70.904237
"570",1971,42.635443,-70.879123
"571",1982,42.626664,-70.851125
"572",1983,42.661793,-70.954487
"573",1984,42.597691,-70.8732
"574",1985,42.79414,-70.971068
"575",2018,41.970474,-70.701357
"576",2019,42.076501,-71.470464
"577",2020,42.081825,-70.643868
"578",2021,42.179146,-71.121185
"579",2025,42.233938,-70.815826
"580",2026,42.244733,-71.181141
"581",2027,42.180048,-71.08923
"582",2030,42.236114,-71.283072
"583",2031,41.998799,-71.200894
"584",2032,42.153786,-71.21455
"585",2035,42.062204,-71.235774
"586",2038,42.08868,-71.404814
"587",2040,41.970474,-70.701357
"588",2041,42.069642,-70.649075
"589",2043,42.212105,-70.884989
"590",2044,41.970474,-70.701357
"591",2045,42.284413,-70.873659
"592",2047,42.142836,-70.69353
"593",2048,42.013182,-71.218373
"594",2050,42.111805,-70.710744
"595",2051,42.151202,-70.734146
"596",2052,42.181265,-71.309934
"597",2053,42.156282,-71.427663
"598",2054,42.165249,-71.36126
"599",2055,41.970474,-70.701357
"600",2056,42.117511,-71.331793
"601",2059,41.970474,-70.701357
"602",2060,41.970474,-70.701357
"603",2061,42.154145,-70.823035
"604",2062,42.182798,-71.196277
"605",2065,42.097219,-70.651567
"606",2066,42.207254,-70.770188
"607",2067,42.105288,-71.184785
"608",2070,42.180048,-71.08923
"609",2071,42.100399,-71.270933
"610",2072,42.118416,-71.105733
"611",2081,42.148624,-71.255533
"612",2090,42.220548,-71.199238
"613",2093,42.054311,-71.371169
"614",2101,42.370567,-71.026964
"615",2102,42.338947,-70.919635
"616",2103,42.338947,-70.919635
"617",2104,42.338947,-70.919635
"618",2105,42.338947,-70.919635
"619",2106,42.354318,-71.073449
"620",2107,42.338947,-70.919635
"621",2108,42.353806,-71.102446
"622",2109,42.360027,-71.054495
"623",2110,42.352847,-71.051466
"624",2111,42.351047,-71.059365
"625",2112,42.338947,-70.919635
"626",2113,42.365398,-71.055001
"627",2114,42.362097,-71.023661
"628",2115,42.342043,-71.096848
"629",2116,42.347207,-71.086095
"630",2117,42.338947,-70.919635
"631",2118,42.336162,-71.072854
"632",2119,42.323077,-71.084608
"633",2120,42.332484,-71.096416
"634",2121,42.307098,-71.081645
"635",2122,42.29658,-71.055215
"636",2123,42.338947,-70.919635
"637",2124,42.286784,-71.071045
"638",2125,42.31476,-71.067244
"639",2126,42.301247,-71.105195
"640",2127,42.329023,-71.020343
"641",2128,42.364197,-71.025694
"642",2129,42.382588,-71.065287
"643",2130,42.309661,-71.121097
"644",2131,42.284197,-71.120896
"645",2132,42.277897,-71.155833
"646",2133,42.338947,-70.919635
"647",2134,42.357169,-71.112646
"648",2135,42.349768,-71.104888
"649",2136,42.254248,-71.129321
"650",2137,42.338947,-70.919635
"651",2138,42.380442,-71.132947
"652",2139,42.365146,-71.101842
"653",2140,42.393246,-71.133833
"654",2141,42.368673,-71.083596
"655",2142,42.36284,-71.084814
"656",2143,42.38092,-71.098896
"657",2144,42.402696,-71.12022
"658",2145,42.391046,-71.095146
"659",2148,42.436545,-71.085396
"660",2149,42.407396,-71.051183
"661",2150,42.378197,-71.038894
"662",2151,42.366303,-71.020494
"663",2152,42.378447,-70.981679
"664",2153,42.446396,-71.459405
"665",2155,42.422095,-71.109297
"666",2156,42.446396,-71.459405
"667",2163,42.32532,-71.112159
"668",2169,42.241799,-71.006042
"669",2170,42.267248,-71.016742
"670",2171,42.284898,-71.014243
"671",2176,42.458995,-71.053095
"672",2177,42.446396,-71.459405
"673",2180,42.474595,-71.098146
"674",2184,42.202216,-71.005192
"675",2185,42.180048,-71.08923
"676",2186,42.240598,-71.078494
"677",2187,42.180048,-71.08923
"678",2188,42.20794,-70.95514
"679",2189,42.210649,-70.932318
"680",2190,42.167841,-70.95074
"681",2191,42.251499,-70.94484
"682",2196,42.338947,-70.919635
"683",2199,42.347247,-71.082395
"684",2201,42.338947,-70.919635
"685",2202,42.361094,-71.061814
"686",2203,42.361485,-71.060364
"687",2204,42.338947,-70.919635
"688",2205,42.350334,-71.053877
"689",2206,42.338947,-70.919635
"690",2207,42.338947,-70.919635
"691",2208,42.338947,-70.919635
"692",2209,42.338947,-70.919635
"693",2210,42.347547,-71.040645
"694",2211,42.338947,-70.919635
"695",2212,42.446396,-71.459405
"696",2215,42.345079,-71.107653
"697",2216,42.338947,-70.919635
"698",2217,42.338947,-70.919635
"699",2222,42.364381,-71.063314
"700",2228,NA,NA
"701",2238,42.446396,-71.459405
"702",2239,42.446396,-71.459405
"703",2241,42.338947,-70.919635
"704",2266,42.338947,-70.919635
"705",2269,42.180048,-71.08923
"706",2283,42.338947,-70.919635
"707",2284,42.338947,-70.919635
"708",2293,42.338947,-70.919635
"709",2295,42.338947,-70.919635
"710",2297,42.338947,-70.919635
"711",2301,42.079399,-71.03999
"712",2302,42.08475,-71.000189
"713",2303,41.970474,-70.701357
"714",2304,41.970474,-70.701357
"715",2305,41.970474,-70.701357
"716",2322,42.126049,-71.048216
"717",2324,41.973741,-70.976558
"718",2325,41.98725,-70.972786
"719",2327,42.040708,-70.827245
"720",2330,41.896238,-70.759689
"721",2331,41.970474,-70.701357
"722",2332,42.052985,-70.710808
"723",2333,42.02285,-70.931056
"724",2334,42.023528,-71.132397
"725",2337,42.022225,-70.931588
"726",2338,41.988351,-70.860578
"727",2339,42.123534,-70.851048
"728",2340,42.123534,-70.851048
"729",2341,42.055701,-70.875936
"730",2343,42.144424,-71.00289
"731",2344,41.970474,-70.701357
"732",2345,41.888198,-70.581029
"733",2346,41.915054,-70.882035
"734",2347,41.843757,-70.959981
"735",2348,41.970474,-70.701357
"736",2349,41.970474,-70.701357
"737",2350,42.018525,-70.847486
"738",2351,42.11749,-70.959888
"739",2355,41.916918,-70.801331
"740",2356,42.053408,-71.12033
"741",2357,42.064499,-71.087091
"742",2358,41.95351,-70.713109
"743",2359,42.065702,-70.800778
"744",2360,41.886207,-70.638717
"745",2361,41.970474,-70.701357
"746",2362,41.970474,-70.701357
"747",2364,41.979405,-70.744813
"748",2366,41.850087,-70.704431
"749",2367,41.96914,-70.812299
"750",2368,42.171467,-71.055602
"751",2370,41.954199,-70.885095
"752",2375,42.023199,-71.111091
"753",2379,42.02165,-71.023588
"754",2381,41.931602,-70.561051
"755",2382,42.0785,-70.940837
"756",2420,42.45631,-71.21665
"757",2421,42.442567,-71.226453
"758",2445,42.318097,-71.143697
"759",2446,42.343097,-71.123046
"760",2447,42.180048,-71.08923
"761",2451,42.398588,-71.24505
"762",2452,42.394319,-71.218049
"763",2453,42.365396,-71.23165
"764",2454,42.356719,-71.250479
"765",2455,NA,NA
"766",2456,42.446396,-71.459405
"767",2457,42.180048,-71.08923
"768",2458,42.385096,-71.208399
"769",2459,42.334146,-71.183298
"770",2460,42.374296,-71.182371
"771",2461,42.361196,-71.205349
"772",2462,42.349496,-71.209699
"773",2464,42.36599,-71.221849
"774",2465,42.378145,-71.213199
"775",2466,42.346696,-71.224957
"776",2467,42.357564,-71.211649
"777",2468,42.327146,-71.231534
"778",2471,42.446396,-71.459405
"779",2472,42.363096,-71.201398
"780",2474,42.417595,-71.159696
"781",2475,42.446396,-71.459405
"782",2476,42.379146,-71.184299
"783",2477,42.446396,-71.459405
"784",2478,42.412795,-71.204399
"785",2479,42.446396,-71.459405
"786",2481,42.310597,-71.274652
"787",2482,42.294546,-71.299201
"788",2492,42.279797,-71.25006
"789",2493,42.375925,-71.227208
"790",2494,42.300147,-71.26315
"791",2495,42.446396,-71.459405
"792",2532,41.745505,-70.590471
"793",2534,41.669373,-70.62337
"794",2535,41.379034,-70.673082
"795",2536,41.662506,-70.562843
"796",2537,41.72832,-70.439975
"797",2538,41.77544,-70.660562
"798",2539,41.401176,-70.552054
"799",2540,41.614199,-70.493263
"800",2541,41.799312,-70.308662
"801",2542,41.65308,-70.553727
"802",2543,41.593809,-70.646442
"803",2552,41.379836,-70.643092
"804",2553,41.67336,-70.608047
"805",2554,41.287647,-70.08665
"806",2556,41.652967,-70.375475
"807",2557,41.417376,-70.560032
"808",2558,41.74756,-70.658164
"809",2559,41.694771,-70.622769
"810",2561,41.770254,-70.533664
"811",2562,41.793263,-70.519584
"812",2563,41.711291,-70.477482
"813",2564,41.273949,-70.015545
"814",2565,41.799312,-70.308662
"815",2568,41.41595,-70.595235
"816",2571,41.760216,-70.694662
"817",2573,41.379836,-70.643092
"818",2574,41.603946,-70.638189
"819",2575,41.42125,-70.642806
"820",2576,41.769863,-70.749688
"821",2584,41.277794,-70.046019
"822",2601,41.829813,-70.138834
"823",2630,41.697313,-70.301394
"824",2631,41.852997,-70.044462
"825",2632,41.796311,-70.175129
"826",2633,41.859559,-70.0468
"827",2634,41.799312,-70.308662
"828",2635,41.624341,-70.43638
"829",2636,41.799312,-70.308662
"830",2637,41.701438,-70.277212
